case_id,domain,criterion,score,notes
A1,A - Governance,Constitutional invariants,3,"_HIEN-PHAP-LIEM-CHINH.md (6 dieu bat buoc) mapped to R1-R7; observability/APPRAISALS.jsonl has real dated entries citing R1/R7/R11/R14 from actual guardrail runs"
A2,A - Governance,"Orchestrators + gates (6 cong, 3 cung)",3,"tools/orchestrator/orchestrator.py implements 6 nang luc; ran live just now (python3 tools/run_orchestrator.py), produced real session 20260715-184413-c58c97; note flows.py actually documents 4 hard gates not 3"
A3,A - Governance,Checkpoint & RESUME,3,"Live-tested: created session then `--resume 20260715-184413-c58c97` replayed the same plan successfully; real G0-G10 *_checkpoint.json files exist for exports/KKB-HAI-LONG-2026"
A4,A - Governance,2-layer guardrail,3,"observability/APPRAISALS.jsonl has real timestamped entries (e.g. RETURN-FOR-FIX, ledger_codes R1/R7/R11/R14) from actual tham-dinh-dau-ra runs, not just doctrine"
A5,A - Governance,Semantic versioning,3,"Real git tags with real dates: v4.3.3.2 (2026-06-28 10:09:05), v4.3.4, v4.3.5, plus *-frozen variants"
B1,B - Research Intake,G0 intake + PICO,3,"exports/KKB-HAI-LONG-2026/G0_checkpoint.json generated_at 2026-07-09T20:03:39 with real PubMed data (6 PMIDs, n_sr/n_rct breakdown)"
B2,B - Research Intake,Design suitability + FINER,3,"G0_A1_PICO_FINER_KKB-HAI-LONG-2026.md contains a real filled FINER section tied to the same real study run"
B3,B - Research Intake,Evidence gap assessment,3,"G0_checkpoint.json 'research_gaps' + 'design_suggestion' fields computed from the live PubMed query results for KKB-HAI-LONG-2026"
B4,B - Research Intake,Feasibility check,2,"00_Research_Intake_Feasibility_Audit.md for the real study is still an unfilled template ([NOT VERIFIED] placeholders); no separately-executed feasibility score found beyond the G0 evidence_level heuristic"
B5,B - Research Intake,Auto-log G0 intake,3,"G0_checkpoint.json + .md + .docx auto-generated together with one real timestamp (2026-07-09T20:03:39), no manual logging step"
C1,C - Evidence Integrity,PMID/DOI bat buoc,3,"exports/KKB-HAI-LONG-2026/G0_pubmed_raw.json contains real PMIDs/titles/journals/years fetched live from PubMed E-utilities"
C2,C - Evidence Integrity,Source hierarchy,2,"_CONNECTOR-CHUNG-CU.md #2 documents source-tier ranking (RAG kho > guideline chinh thong > PubMed doi chieu); no dedicated code/test enforcing the ordering found in tools/ or app/"
C3,C - Evidence Integrity,Schema day du,3,"`pytest -k schema` run just now: 20 passed (app/core/schema_validator.py, runtime/schemas.py, app/services/knowledge_pack_schema.py exercised)"
C4,C - Evidence Integrity,Retraction screening,3,"Ran EBM_RUN_ONLINE_PMID_TEST=1 pytest tests/test_check_citation_retraction.py::test_cli_online_real_pubmed_detects_wakefield_retraction just now — PASSED against live PubMed (real PMID 9500320)"
C5,C - Evidence Integrity,Anti-fabrication test,3,"tests/test_no_mock_fallback_live.py (guards against mock data leaking into real results) — 7 passed, run fresh just now"
C6,C - Evidence Integrity,Guideline currency,2,"cap-nhat-guideline.md agent doctrine is detailed (M1-M6) and wired to Scheduled/uptodate/SKILL.md, but that folder holds only the prompt spec — no run log/output found evidencing an actual scan"
C7,C - Evidence Integrity,Monthly update,2,"launchd jobs com.medicalebm.monthlyupdate/weeklysafety ARE loaded (real plists), but `launchctl print` shows literal 'last exit code = (never exited)' and the stdout/stderr log files are 0 bytes — registered but never actually fired"
D1,D - Protocol & Methods,Study design taxonomy,3,"tools/run_g1_auto.py design-code/label/reporting-standard map is real code; executed for KKB (G1_checkpoint.json: cross_sectional -> STROBE, generated_at 2026-07-09T20:03:41)"
D2,D - Protocol & Methods,SAP template,3,"tools/run_g4_auto.py generated a real G4_A5_SAP_FINAL docx/md for KKB-HAI-LONG-2026 (g4_sap_version 1.0, guardrail PASS)"
D3,D - Protocol & Methods,Bias assessment tools,2,"RoB2/ROBINS-I/QUADAS-2/AMSTAR-2 correct-tool-per-design mapping is documented across 12+ agent .md files (incl. as a constitutional invariant), but no dedicated executable checklist code/test producing a scored assessment was found"
D4,D - Protocol & Methods,Reporting standards,3,"Same design-taxonomy code selects CONSORT/STROBE/PRISMA/STARD; ran tools/check_de_cuong.py --study KKB-HAI-LONG-2026 live just now — its R7/R8 compliance checks executed (and correctly FAILED on the real doc, proving the validator functions)"
D5,D - Protocol & Methods,Multi-arm template,1,"No reference to a multi-arm / 3-arm RCT template found anywhere in tools/*.py or .claude/agents/*.md after multiple targeted searches (arm/nhánh can thiệp/3-arm)"
D6,D - Protocol & Methods,Subgroup pre-registration,2,"tools/run_g6_auto.py has real subgroup-analysis code referencing 'SAP §7', but for the one real study checked G4 (SAP) was not yet LOCKED when G6 ran (g4_was_locked:false in G6_checkpoint.json) — no confirmed instance of subgroups actually pre-registered/locked before data"
D7,D - Protocol & Methods,Artifact templates A10/A13/A15,2,"A10 (author integrity) and A13b (risk register) are real, generated and executed for KKB; A15 does not exist anywhere in the artifact taxonomy (_CROSSWALK-NGHIEN-CUU.md codes run A14 -> A17, no A15/A16)"
E1,E - Ethics & Privacy,IRB gate G2,3,"exports/KKB-HAI-LONG-2026/G2_checkpoint.json generated_at 2026-07-09T20:03:42, real IRB-route/risk-level determination (EXPEDITED, risk TOI THIEU), correctly PENDING real IRB number"
E2,E - Ethics & Privacy,ICF + registry template,3,"Same G2 run generated real ICF documents (TL4 Vietnamese, TL5 English) plus WHO 18-field registration draft — part of the executed artifact set"
E3,E - Ethics & Privacy,Waiver-of-consent tree,3,"tools/run_g2_auto.py icf_waiver_eligible decision logic is real code; executed for KKB and correctly resolved icf_required=true (not waived) given the design"
E4,E - Ethics & Privacy,PII scrub policy,3,"tools/deidentify_research_dataset.py + tools/pseudonymize_research_dataset.py are real implemented tools exercised as part of the 1812-pass full suite run just now"
E5,E - Ethics & Privacy,PII leakage test,3,"tests/test_pii_adversarial.py executed fresh just now (part of an 83-passed/8-skipped run)"
E6,E - Ethics & Privacy,Data lock + G5,3,"exports/KKB-HAI-LONG-2026/G5_checkpoint.json generated_at 2026-07-09, real 30-row REDCap dictionary produced; database_lock_status correctly PENDING since no real data collected yet"
E7,E - Ethics & Privacy,RBAC matrix,3,"tools/gate_contract.py _STAKEHOLDER_ROLE_ALIASES/_GATE_REQUIRED_STAKEHOLDERS is real fail-closed gate-role logic; `pytest tests/test_gate_contract_roles.py tests/test_gate_contract_approval_ledger_stakeholder_parity.py` = 17 passed, run fresh. Note: release_evidence/R_GOV_1 self-admits 'Production RBAC | NOT IMPLEMENTED' for a broader system-wide RBAC"
F1,F - Data & SAP,SAP lock (G4 hard gate),3,"tools/run_g6_auto.py contains real sys.exit()/raise SystemExit blocks when G4/G5 are not LOCKED-by-signature; tests/test_run_stats_data_lock_gate.py (incl. checksum-mismatch block test) passed fresh just now"
F2,F - Data & SAP,Dummy tables,3,"exports/KKB-HAI-LONG-2026/15_Table_Shells.md is a real generated shell-table artifact (correctly blank, as dummy tables should be pre-data)"
F3,F - Data & SAP,Data dictionary + CRF,3,"exports/KKB-HAI-LONG-2026/G5_REDCap_dictionary_KKB-HAI-LONG-2026.csv is real, 30 rows with field types/validation/branching logic, generated_at real timestamp"
F4,F - Data & SAP,ALCOA+ integrity,3,"tools/lock_analysis_dataset.py enforces --confirm-deidentified/--confirm-clean-copy/--confirm-no-open-query/--confirm-sap-locked flags; exercised by tests/test_run_stats_data_lock_gate.py, passed fresh just now"
F5,F - Data & SAP,Actual CRF/questionnaire,2,"The CRF/questionnaire instrument itself is real (see F3), but no ACTUAL filled patient responses exist anywhere in the repo — release_evidence/R_GOV_1 self-declares the system 'AUTHORIZED_FOR_DESIGN_ONLY', consistent with zero real collected data found"
F6,F - Data & SAP,Data Lock Memo + checksum,3,"tools/lock_analysis_dataset.py implements real SHA-256 checksums (_sha256_file); test_run_stats_blocks_locked_dataset_checksum_mismatch passed fresh in tests/test_run_stats_data_lock_gate.py"
F7,F - Data & SAP,Reproduction test,3,"tests/test_reproducibility.py — 20 passed (run together with data-lock-gate tests), fresh just now"
G1,G - Analysis & Reporting,Analysis syntax per SAP,3,"exports/KKB-HAI-LONG-2026/scripts/03_analysis.R is real generated code with the study's actual detected covariates (age/sex/bmi/education/... ) commented pending real data, per design=cross-sectional logistic"
G2,G - Analysis & Reporting,IMRAD compliance,3,"exports/KKB-HAI-LONG-2026/16_IMRAD_Manuscript.md real generated manuscript shell; tools/check_de_cuong.py R1_16_sections check (run live) reported PASS (đủ 16 mục) for this real document"
G3,G - Analysis & Reporting,Results<->Discussion sync,2,"dien-giai-ket-qua.md agent documents itself as the bridge between phan-tich-thong-ke (numbers) and viet-ban-thao (Discussion), but no dedicated automated numeric cross-check between Results and Discussion sections was found or executed"
G4,G - Analysis & Reporting,EQUATOR validator,3,"Ran `python tools/check_de_cuong.py --study KKB-HAI-LONG-2026` live just now: R7/R8/R9/R11/R12/R13 checks executed and correctly FAILED on the real doc (missing compliance matrix) — proves the validator genuinely runs, independent of whether the underlying document passes"
G5,G - Analysis & Reporting,Data Sharing Statement,3,"exports/KKB-HAI-LONG-2026/G9_A10_AUTHOR_INTEGRITY...md real generated 'Phần 3 — Data Availability Statement (3 lựa chọn)' section, part of the executed G9 artifact set"
H1,H - QA & Testing,2-layer guardrail,3,"Same evidence as A4: observability/APPRAISALS.jsonl real dated entries from actual guardrail runs (not just doctrine)"
H2,H - QA & Testing,Golden tests,3,"tests/test_golden.py executed fresh just now as part of a full 1812-passed/17-skipped/0-failed pytest run (83.66s)"
H3,H - QA & Testing,Adversarial test suite,3,"tests/test_offline_adversarial_guard_rules.py + tests/test_pii_adversarial.py executed fresh just now, all passed"
H4,H - QA & Testing,Regression tests,3,"Full suite run fresh just now: 1812 passed, 17 skipped, 0 failed (1829 collected) — acts as the regression net; no dedicated file literally named 'regression' but coverage is real and current"
H5,H - QA & Testing,enforce_agent_guardrails,3,"Ran `python3 tools/enforce_agent_guardrails.py` live just now: 'checked agents: 50, changed files: 0' — real fresh execution"
I1,I - End-to-End,Baseline audit report,3,"V4_3_3_2_EXECUTIVE_SUMMARY.md is real, dated 2026-06-28, cites a real commit hash and archive SHA-256; self-authored (not independently reviewed) so capped below 4"
I2,I - End-to-End,System inventory,3,"V4_3_3_2_REPOSITORY_INVENTORY.csv is real, 45 categorized rows referencing real paths/reasons (e.g. 'verified by verify_manifest_registry.py')"
I3,I - End-to-End,Cross-session continuity,3,"~/.claude/projects/.../memory/MEMORY.md plus 20+ dated project-*.md files spanning 2026-06-28 to 2026-07-14 are real and actively used — this very session is reading them right now"
I4,I - End-to-End,Sync failure alert,3,"Ran `python3 tools/sync_safety_check.py` live just now: correctly produced a 🟡 caution verdict, flagging 8 uncommitted changes in the outer repo and 70+ files with recent-write signals"
I5,I - End-to-End,Audit completeness,3,"Ran `python3 tools/audit_ebm_system.py` live just now: comprehensive real output across 15+ subsystems (agent sync, guardrail, dashboards, tests, clinical runtime BLOCKED_FOR_PRODUCTION status, etc.), ending PASS"
