case_id,domain,criterion,score,notes
A1,A - Governance,Constitutional invariants,3,"_HIEN-PHAP-LIEM-CHINH.md documents 6 invariants; operationalized as R1-R7 in tham-dinh-dau-ra; real observability/APPRAISALS.jsonl has 9 dated entries (e.g. 2026-07-12) with real PASS/RETURN-FOR-FIX verdicts"
A2,A - Governance,"Orchestrators + gates (6 cong, 3 cung)",3,"tools/gate_contract.py implements 4 exit codes + needs_input; live run of tools/audit_ebm_system.py just now printed 'Research completion gates: PASS' and 'Approval independence: PASS'; gate count has grown beyond the literal '6/3' in the name (now G0-G9 w/ 5 hard stops incl. G8 peer review) but mechanism is real"
A3,A - Checkpoint & RESUME,Checkpoint & RESUME,3,"Real G0-G9 checkpoint JSON files with real generated_at/run_date timestamps across exports/KKB-HAI-LONG-2026, PROBE-CASECTRL-VERIFY, SGLT2-HFpEF-2026; RESUME protocol documented in dieu-phoi-nghien-cuu.md and read by tools/audit_research_gates.py"
A4,A - Governance,2-layer guardrail,3,"tham-dinh-dau-ra doctrine (R1-R7 integrity + Q1-Q7 Med-PaLM quality); observability/APPRAISALS.jsonl real executed log, e.g. bad_causal_cross_sectional.md verdict RETURN-FOR-FIX 9/18 dated 2026-07-12; no independent human sign-off found"
A5,A - Governance,Semantic versioning,3,"Real git tags v4.3.3.2/v4.3.4/v4.3.5 (+ '-frozen' variants) on real commits = executed versioning practice; NOTE: .claude-plugin/plugin.json version field is stale/static '0.1.0', not strict 3-part SemVer, and out of sync with tag scheme"
B1,B - Research Intake,G0 intake + PICO,3,"tools/run_g0_auto.py real; exports/KKB-HAI-LONG-2026/G0_checkpoint.json real with generated_at 2026-07-09T20:03:39, G0_A1_PICO_FINER .md/.docx generated"
B2,B - Research Intake,Design suitability + FINER,3,"Same G0 checkpoint has real design_suggestion field (e.g. 'RCT HOẶC Cohort tiến cứu đa trung tâm') + FINER section in generated A1 artifact"
B3,B - Research Intake,Evidence gap assessment,3,"G0_checkpoint.json real field research_gaps populated ('Chưa có guideline/khuyến cáo chính thức cho vấn đề này'); khoang-trong-nghien-cuu.md doctrine"
B4,B - Research Intake,Feasibility check,2,"FINER 'F' (Feasible) is only a placeholder field ('[CẦN BÁC SĨ] Điền FINER F') for the physician to fill in run_g0_auto.py output; no automated feasibility calculator (enrollment/site capacity) code found"
B5,B - Research Intake,Auto-log G0 intake,3,"run_g0_auto.py has dedicated checkpoint-writer function explicitly for so-cai-ghi-nho/resume; real populated checkpoint files exist across multiple real study exports"
C1,C - Evidence Integrity,PMID/DOI bat buoc,3,"EBM-Dashboards/tools/verify_dashboard.py enforces PMID_RE/DOI_RE hard-fail rules; ran it live just now against a real dashboard -> PASS, 0 hard errors; tools/check_de_cuong.py R4_pmid_traceable also ran live -> PASS 6/6 PMIDs matched to PubMed raw"
C2,C - Evidence Integrity,Source hierarchy,2,"_CONNECTOR-CHUNG-CU.md documents tiering (RAG kho -> nguồn chính thống -> PubMed/Europe PMC) but this is doctrine/LLM-followed guidance; no deterministic source-ranking code or test found"
C3,C - Evidence Integrity,Schema day du,3,"dashboard_mockups DATA schema (meta/summary/items[]/etd) documented in DESIGN-SPEC.md; verify_dashboard.py enforces item-level required fields, live-tested just now -> PASS"
C4,C - Evidence Integrity,Retraction screening,3,"tools/check_citation_retraction.py calls real PubMed E-utilities; ran it live just now against PMID 9500320 (Wakefield) -> correctly returned status=retracted with real retraction notice PMID 20137807"
C5,C - Evidence Integrity,Anti-fabrication test,3,"Multiple real tests reference fabrication guards (test_gate_blocked_contract.py, test_v4_2_end_to_end_workflow.py etc.), part of the 1812-test pass I just ran; verify_dashboard.py historically caught a real fabricated DOI (EVID-2026-0270) per its own changelog comments"
C6,C - Evidence Integrity,Guideline currency,3,"data/reports/EBM_Weekly_Update_*.md real files with real recent dates including 2026-07-12 (3 days before rating date), multi-MB real content = regular real execution of guideline surveillance"
C7,C - Evidence Integrity,Monthly update,2,"com.medicalebm.monthlyupdate launchd job is installed and scripts/monthly_update.sh exists, but 'launchctl print' shows runs=0, last exit code=(never exited), and its stdout/stderr log files are 0 bytes since creation -> no confirmed execution of the specific monthly mechanism on this machine (weekly cadence runs instead, see C6)"
D1,D - Protocol & Methods,Study design taxonomy,3,"tools/skill_standards.py canonical_design_code()/DESIGN_CODE_ALIASES/REPORTING_STANDARDS real code, used by G0/G4/G10 gates which have real executed checkpoints"
D2,D - Protocol & Methods,SAP template,3,"tools/run_g4_auto.py generates real SAP docx; exports/*/G4_checkpoint.json real with run_date timestamps across 3+ real studies, correctly PENDING (no fake auto-lock)"
D3,D - Protocol & Methods,Bias assessment tools,2,"tools/clinical_calc.py grade_rating() takes risk_of_bias param and a passing test (test_clinical_calc.py) confirms correct tool label (QUADAS-2 vs RoB 2) is attached per design; but actual RoB2/ROBINS-I/AMSTAR-2/QUADAS-2 domain-by-domain scoring is doctrine/LLM-judgment, not deterministic code"
D4,D - Protocol & Methods,Reporting standards,3,"skill_standards.py reporting_standards_for() EQUATOR map (CONSORT/STROBE/PRISMA/STARD/TRIPOD+AI/SPIRIT); 17_Reporting_Checklist.md real generated; check_de_cuong.py R8_international_compliance check ran live just now (correctly flagged FAIL for a study missing the matrix, proving the check runs)"
D5,D - Protocol & Methods,Multi-arm template,2,"Only a thin sanity-check set _MULTI_ARM_DESIGNS in tools/run_g10_assemble.py (n_per vs n_total check); no dedicated multi-arm SAP/CRF/randomization template found"
D6,D - Protocol & Methods,Subgroup pre-registration,2,"tools/run_g4_auto.py SAP template has a real field 'Nhóm nhỏ tiền định: [CẦN BÁC SĨ — phải ghi TRƯỚC khi xem dữ liệu]' but it is an unfilled placeholder in every real study export I sampled; no automated pre-registration lock/verification found"
D7,D - Protocol & Methods,Artifact templates A10/A13/A15,3,"A10/A13/A15 cross-referenced consistently across dieu-phoi-nghien-cuu.md, binh-duyet.md, _KIEM-TOAN-DAY-DU-NGHIEN-CUU.md (incl. a real naming-crosswalk fix dated 2026-07-11); real generated docx found e.g. exports/KKB-HAI-LONG-2026/G9_A10_AUTHOR_INTEGRITY_*.docx"
E1,E - Ethics & Privacy,IRB gate G2,3,"tools/run_g2_auto.py real; G2_checkpoint.json real across 3+ studies, correctly PENDING/fail-closed; tools/approve_gate.py enforces HMAC-signed role check (IRB/ETHICS_COMMITTEE) via gate_contract._STAKEHOLDER_ROLE_ALIASES, covered by test_gate_contract_roles.py (passed in my full pytest run)"
E2,E - Ethics & Privacy,ICF + registry template,3,"exports/KKB-HAI-LONG-2026/G2_A3_ETHICS_PACKAGE real file contains full Vietnamese ICF (7 Helsinki sections) + English translation, generated for a real study"
E3,E - Ethics & Privacy,Waiver-of-consent tree,3,"Same G2 ethics package has real icf_waiver_eligible logic keyed by design_code plus an explicit red-flag decision list ('CỜ ĐỎ... bất kỳ -> PHẢI lấy ICF đầy đủ') in generated content"
E4,E - Ethics & Privacy,PII scrub policy,3,"tools/deidentify_research_dataset.py is a real, substantial de-identification script (column removal, token replacement, subject-id remap); part of the 1812 tests that passed in my fresh pytest run"
E5,E - Ethics & Privacy,PII leakage test,3,"tests/test_pii_adversarial.py real file, executed and passed in my fresh full pytest run (1812 passed, 0 failed)"
E6,E - Ethics & Privacy,Data lock + G5,3,"tools/run_g5_auto.py real; exports/*/G5_checkpoint.json real across 3+ studies with database_lock_status correctly PENDING pending G2"
E7,E - Ethics & Privacy,RBAC matrix,3,"tools/gate_contract.py _STAKEHOLDER_ROLE_ALIASES maps G2->IRB, G4->STATISTICIAN/PI, G8->PEER_REVIEWER, G9->PI; enforced in approve_gate.py; test_gate_contract_roles.py passed in my fresh pytest run"
F1,F - Data & SAP,SAP lock (G4 hard gate),3,"Real G4_checkpoint.json across 3+ studies all correctly show g4_lock_date=null / status PENDING (fail-closed, no fake auto-lock); tools/approve_gate.py HMAC signature required to actually lock, verified by gate_contract.ledger_approved() used in run_g6_auto.py/run_g9_auto.py"
F2,F - Data & SAP,Dummy tables,3,"exports/KKB-HAI-LONG-2026/15_Table_Shells.md real generated file with correctly empty shell cells (methodologically correct pre-data-lock state)"
F3,F - Data & SAP,Data dictionary + CRF,3,"exports/KKB-HAI-LONG-2026/09_Data_Dictionary.md and exports/TEST-DEMO-CHECK/09_Data_Dictionary.md real generated files"
F4,F - Data & SAP,ALCOA+ integrity,2,"ALCOA+ referenced across quan-ly-du-lieu.md, _QUAN-TRI-DU-LIEU-PII.md, so-cai-ghi-nho.md doctrine, but no dedicated deterministic ALCOA+ compliance checker/test found in tools/ or tests/"
F5,F - Data & SAP,Actual CRF/questionnaire,2,"exports/KKB-HAI-LONG-2026/G3c_CRF_*.docx is real and generated, but content extracted via python-docx is a placeholder shell ('[CẦN CHỦ NHIỆM XÁC NHẬN] Chủ nhiệm điền nội dung...'), not an actual filled instrument, in every study I sampled"
F6,F - Data & SAP,Data Lock Memo + checksum,2,"tools/lock_analysis_dataset.py has real SHA-256 computation code (_sha256_file), but every sampled study's 13_Data_Lock_Memo.md shows 'Hash checksum: [CẦN]' placeholder -- no observed real execution against an actual locked clinical dataset"
F7,F - Data & SAP,Reproduction test,3,"tests/test_reproducibility.py real: test_same_input_same_output_hash, test_two_independent_runtime_instances_agree; part of the 1812 passed in my fresh pytest run"
G1,G - Analysis & Reporting,Analysis syntax per SAP,3,"tools/run_stats_analysis.py has real hard-enforcement function _require_locked_analysis_dataset() blocking analysis on non-locked data; tests/test_run_stats_g2_gate.py passed in my fresh pytest run"
G2,G - Analysis & Reporting,IMRAD compliance,3,"tools/check_de_cuong.py R1_16_sections check; I ran it live just now against a real manuscript -> PASS (đủ 16 mục)"
G3,G - Analysis & Reporting,Results<->Discussion sync,2,"tools/run_g10_assemble.py generates a traceability-matrix template with a textual rule ('Mỗi câu kết luận trong Results/Discussion phải truy ngược được tới một hàng của ma trận này') but I found no automated code/test that actually cross-checks generated Results/Discussion text against it"
G4,G - Analysis & Reporting,EQUATOR validator,3,"tools/check_de_cuong.py R8_international_compliance; I ran it live just now against a real manuscript and it correctly returned FAIL for a study missing the compliance matrix, proving the validator functions"
G5,G - Analysis & Reporting,Data Sharing Statement,3,"tools/run_g9_auto.py generates real Data Availability Statement (3 ICMJE/FAIR options A/B/C, citing Vietnamese Law 91/2025/QH15); part of real G9_checkpoint.json executions across 3+ studies"
H1,H - QA & Testing,2-layer guardrail,3,"Same evidence as A4: tham-dinh-dau-ra R1-R7+Q1-Q7 doctrine + observability/APPRAISALS.jsonl real executed log with dated verdicts"
H2,H - QA & Testing,Golden tests,3,"tests/test_golden.py + tests/fixtures/golden/*.json real; executed and passed as part of my fresh full pytest run (1812 passed)"
H3,H - QA & Testing,Adversarial test suite,3,"tests/test_offline_adversarial_guard_rules.py + tests/test_pii_adversarial.py real, executed and passed in my fresh full pytest run"
H4,H - QA & Testing,Regression tests,3,"test_golden.py docstring explicitly states its purpose includes catching regressions ('nếu code sau này thay đổi làm hỏng golden case, phát hiện NGAY'); .github/workflows/offline-ci.yml real CI config runs full suite on every push/PR; I personally re-ran the full suite just now (1812 passed, 17 skipped, 91.5s)"
H5,H - QA & Testing,enforce_agent_guardrails,3,"tools/enforce_agent_guardrails.py real; I ran it live just now at repo root -> 'checked agents: 50, changed files: 0' (clean pass)"
I1,I - End-to-End,Baseline audit report,3,"MRAQ100_AUDIT/ has 18 real dated report files (2026-06-21) with substantial content -- documented+implemented+executed, but self-authored by the same AI with no independent reviewer, exactly the gap this kappa exercise exists to address, so NOT tier 4"
I2,I - End-to-End,System inventory,3,"01_SYSTEM_INVENTORY.md exists (dated 2026-06-21, now stale); I ran tools/audit_ebm_system.py live just now which produced a current real inventory-like snapshot (50 agents synced, EBM_MASTER 534 cards: 236 apply/209 consider/89 notyet, 7 quarantined)"
I3,I - End-to-End,Cross-session continuity,3,"memory-sync/ real directory with real files spanning multiple dates (e.g. MEMORY.md dated 2026-07-14); tools/sync_memory.py + tools/sync_safety_check.py real, I ran sync_safety_check.py live just now with real output"
I4,I - End-to-End,Sync failure alert,3,"I ran tools/sync_safety_check.py live just now; it correctly raised real 🟡 warnings (8 uncommitted changes in root repo; signs another session just wrote 76+ files) -- a real, currently-functioning alert mechanism"
I5,I - End-to-End,Audit completeness,3,"I ran tools/audit_ebm_system.py live just now; it performed 15+ distinct real checks (agent sync, dashboard offline, template sync, tool sync, repo compile, runtime deps, approval independence, gate completion, clinical runtime blockers, EBM_MASTER card counts) and returned a real overall PASS verdict with itemized caveats"
